enum_schema,enum_name,enum_value
auth,aal_level,aal1
auth,aal_level,aal2
auth,aal_level,aal3
auth,code_challenge_method,s256
auth,code_challenge_method,plain
auth,factor_status,unverified
auth,factor_status,verified
auth,factor_type,totp
auth,factor_type,webauthn
auth,factor_type,phone
auth,one_time_token_type,confirmation_token
auth,one_time_token_type,reauthentication_token
auth,one_time_token_type,recovery_token
auth,one_time_token_type,email_change_token_new
auth,one_time_token_type,email_change_token_current
auth,one_time_token_type,phone_change_token
public,Instituicao,UFBA
public,Instituicao,TCA
public,Instituicao,USP
public,Role,ADMIN
public,Role,SETOR
public,Role,USER
public,Setor,ACERVO_OSUFBA
public,Setor,ACERVO_SCHWEBEL
public,Setor,ACERVO_PIERO
public,Setor,ACERVO_PINO
public,Setor,ACERVO_WIDMER
public,Setor,MEMORIAL_LINDENBERG_CARDOSO
public,Setor,COMPOSITORES_DA_BAHIA
public,Setor,ACERVO_OSBA
public,funcao_usuario,MUSICO
public,funcao_usuario,ESTUDANTE
public,funcao_usuario,PROFESSOR
public,funcao_usuario,MAESTRO
public,funcao_usuario,ARQUIVISTA
public,funcao_usuario,GERENTE
public,instrumento_type,FLAUTA
public,instrumento_type,OBOÉ
public,instrumento_type,CLARINETE
public,instrumento_type,FAGOTE
public,instrumento_type,TROMPA
public,instrumento_type,TROMPETE
public,instrumento_type,TROMBONE
public,instrumento_type,TUBA
public,instrumento_type,VIOLINO_I
public,instrumento_type,VIOLINO_II
public,instrumento_type,VIOLA
public,instrumento_type,VIOLONCELO
public,instrumento_type,CONTRABAIXO
public,instrumento_type,HARPA
public,instrumento_type,PIANO
public,instrumento_type,PERCUSSAO
public,instrumento_type,SOPRANO
public,instrumento_type,CONTRALTO
public,instrumento_type,TENOR
public,instrumento_type,BAIXO
public,instrumento_type,TIMPANOS
public,instrumento_type,VIOLINO
public,user_role,ADMIN
public,user_role,GERENTE
public,user_role,ARQUIVISTA
public,user_role,MUSICO
public,user_role,ESTUDANTE
public,user_role,PROFESSOR
public,user_role,MAESTRO
realtime,action,INSERT
realtime,action,UPDATE
realtime,action,DELETE
realtime,action,TRUNCATE
realtime,action,ERROR
realtime,equality_op,eq
realtime,equality_op,neq
realtime,equality_op,lt
realtime,equality_op,lte
realtime,equality_op,gt
realtime,equality_op,gte
realtime,equality_op,in
